FROM_LOINC,FROM_UNIT,TO_LOINC,TO_UNIT,FACTOR
59826-8,umol/L,38483-4,mg/dL,0.0110
14682-9,umol/L,2160-0,mg/dL,0.0110
59260-0,mmol/L,718-7,g/dL,1.6100
75928-2,mmol/L,30313-1,g/dL,1.6100
75940-7,mg/dL,6298-4,mmol/L,0.2560
15074-8,mmol/L,2339-0,mg/dL,18.0200
72516-8,mmol/L,2340-8,mg/dL,18.0200
14743-9,mmol/L,41653-7,mg/dL,18.0200
14749-6,mmol/L,2345-7,mg/dL,18.0200
39480-9,mmol/L,41652-9,mg/dL,18.0200
39481-7,mmol/L,41651-1,mg/dL,18.0200
51596-5,mmol/L,32016-8,mg/dL,18.0200
76485-2,nmol/L,1988-5,mg/L,0.1000
76486-0,nmol/L,30522-7,mg/L,0.1000
72903-8,mmol/L,20977-5,mg/dL,6.0060
22664-7,mmol/L,3091-6,mg/dL,6.0060
72926-9,mmol/L,12962-7,mg/dL,6.0060
72927-7,mmol/L,12961-9,mg/dL,6.0060
59570-2,mmol/L,6299-2,mg/dL,6.0060
14937-7,mmol/L,3094-0,mg/dL,6.0060
38230-9,mg/dL,1994-3,mmol/L,0.2500
59470-5,mg/dL,34581-9,mmol/L,0.2500
17863-2,mg/dL,1995-0,mmol/L,0.2500
17864-0,mg/dL,12180-6,mmol/L,0.2500
34927-4,umol/L,3107-0,mg/dL,0.0592
34928-2,umol/L,20405-7,mg/dL,0.0592
60025-4,umol/L,50563-6,mg/dL,0.0592
49765-1,mg/dL,1996-8,mmol/L,0.2500
17861-6,mg/dL,2000-8,mmol/L,0.2500
54363-7,umol/L,42719-5,mg/dL,0.0585
14631-6,umol/L,1975-2,mg/dL,0.0585
70199-5,umol/L,1978-6,mg/dL,0.0585
41016-7,umol/L,20505-4,mg/dL,0.0585
68367-2,umol/L,53327-3,mg/dL,0.0585
15076-3,mmol/L,2350-7,mg/dL,18.0200
22705-8,mmol/L,5792-7,mg/dL,18.0200
59156-0,mmol/L,53328-1,mg/dL,18.0200
14933-6,umol/L,3084-1,mg/dL,0.0168
21377-7,mg/dL,2593-2,mmol/L,0.4110
19123-9,mg/dL,2601-3,mmol/L,0.4110
59032-3,mg/dL,32693-4,mmol/L,0.1110
30242-2,mg/dL,2518-9,mmol/L,0.1110
14118-4,mg/dL,2524-7,mmol/L,0.1110
22748-8,mmol/L,2089-1,mg/dL,38.6698
39469-2,mmol/L,13457-7,mg/dL,38.6698
69419-0,mmol/L,18262-6,mg/dL,38.6698
24519-1,mmol/L,2774-8,mg/dL,0.3229
14879-1,mmol/L,2777-1,mg/dL,0.3229
14920-3,pmol/L,3024-7,ng/dL,0.0777
