FROM_LOINC	FROM_UNIT	TO_LOINC	TO_UNIT	FACTOR
59826-8	umol/L	38483-4	mg/dL	0.011
14682-9	umol/L	2160-0	mg/dL	0.011
59260-0	mmol/L	718-7	g/dL	1.61
75928-2	mmol/L	30313-1	g/dL	1.61
75940-7	mg/dL	6298-4	mmol/L	0.256
15074-8	mmol/L	2339-0	mg/dL	18.02
72516-8	mmol/L	2340-8	mg/dL	18.02
14743-9	mmol/L	41653-7	mg/dL	18.02
14749-6	mmol/L	2345-7	mg/dL	18.02
39480-9	mmol/L	41652-9	mg/dL	18.02
39481-7	mmol/L	41651-1	mg/dL	18.02
51596-5	mmol/L	32016-8	mg/dL	18.02
76485-2	nmol/L	1988-5	mg/L	0.1
76486-0	nmol/L	30522-7	mg/L	0.1
72903-8	mmol/L	20977-5	mg/dL	6.006
22664-7	mmol/L	3091-6	mg/dL	6.006
72926-9	mmol/L	12962-7	mg/dL	6.006
72927-7	mmol/L	12961-9	mg/dL	6.006
59570-2	mmol/L	6299-2	mg/dL	6.006
14937-7	mmol/L	3094-0	mg/dL	6.006
38230-9	mg/dL	1994-3	mmol/L	0.25
59470-5	mg/dL	34581-9	mmol/L	0.25
17863-2	mg/dL	1995-0	mmol/L	0.25
17864-0	mg/dL	12180-6	mmol/L	0.25
34927-4	umol/L	3107-0	mg/dL	0.0592
34928-2	umol/L	20405-7	mg/dL	0.0592
60025-4	umol/L	50563-6	mg/dL	0.0592
49765-1	mg/dL	1996-8	mmol/L	0.25
17861-6	mg/dL	2000-8	mmol/L	0.25
54363-7	umol/L	42719-5	mg/dL	0.0585
14631-6	umol/L	1975-2	mg/dL	0.0585
70199-5	umol/L	1978-6	mg/dL	0.0585
41016-7	umol/L	20505-4	mg/dL	0.0585
68367-2	umol/L	53327-3	mg/dL	0.0585
15076-3	mmol/L	2350-7	mg/dL	18.02
22705-8	mmol/L	5792-7	mg/dL	18.02
59156-0	mmol/L	53328-1	mg/dL	18.02
14933-6	umol/L	3084-1	mg/dL	0.0168
21377-7	mg/dL	2593-2	mmol/L	0.411
19123-9	mg/dL	2601-3	mmol/L	0.411
59032-3	mg/dL	32693-4	mmol/L	0.111
30242-2	mg/dL	2518-9	mmol/L	0.111
14118-4	mg/dL	2524-7	mmol/L	0.111
22748-8	mmol/L	2089-1	mg/dL	38.6698
39469-2	mmol/L	13457-7	mg/dL	38.6698
69419-0	mmol/L	18262-6	mg/dL	38.6698
24519-1	mmol/L	2774-8	mg/dL	0.3229
14879-1	mmol/L	2777-1	mg/dL	0.3229
14920-3	pmol/L	3024-7	ng/dL	0.0777
70217-5	pmol/L	6892-4	ng/dL	0.777
14928-6	pmol/L	3051-0	pg/mL	64.94
83126-3	pmol/L	83127-1	pg/mL	64.94
70218-3	mmol/L	3043-7	mg/dL	88.5
14927-8	mmol/L	2571-8	mg/dL	88.5
14683-7	mmol/L	2161-8	mg/dL	0.0113
30002-0	umol/L	30004-6	mg/dL	0.0113
14647-2	mmol/L	2093-3	mg/dL	38.61
14646-4	mmol/L	2085-9	mg/dL	38.61
14723-1	pmol/L	2276-4	ng/mL	0.445
83108-1	pmol/L	83107-3	pg/mL	8.457
14798-3	umol/L	2498-4	ug/dL	5.587
22702-5	mmol/L	5797-6	mg/dL	5.808
59158-6	mmol/L	50557-8	mg/dL	5.808
14635-7	pmol/L	1989-3	pg/mL	0.385
14675-3	nmol/L	2143-6	ug/dL	0.362
83090-1	nmol/L	83088-5	ug/dL	0.362
14685-2	pmol/L	2132-9	pg/mL	1.3554
76491-0	umol/L	2472-9	mg/dL	97.1
77177-4	umol/L	2465-3	mg/dL	14.99
25415-1	nmol/L	2282-2	ng/mL	0.4413
14732-2	nmol/L	2284-8	ng/mL	0.4413
22674-6	umol/L	3034-6	mg/dL	8.13
56887-3	nmol/L	2639-3	ug/L	17.51
76487-8	umol/L	2458-8	mg/dL	16
39797-6	umol/L	4092-3	ug/mL	1.4493
14866-8	pmol/L	2731-8	pg/mL	9.43
14715-7	pmol/L	2243-4	pg/mL	0.2724
72873-3	pmol/L	35384-7	pg/mL	0.2724
83097-6	pmol/L	83096-8	pg/mL	0.2724
76496-9	umol/L	4498-2	mg/dL	20
43583-4	nmol/L	10835-7	mg/dL	28.01
14629-0	umol/L	1968-7	mg/dL	0.0585
70209-2	umol/L	4542-7	mg/dL	10
76484-5	nmol/L	1952-1	ug/mL	0.0118
77163-4	nmol/L	46723-3	mg/L	0.03
25433-4	mmol/L	721-1	g/dL	1.61
14913-8	nmol/L	2986-8	ng/dL	28.82
70239-9	nmol/L	49041-7	ng/dL	28.82
83115-6	nmol/L	83116-4	ng/mL	28.82
15120-9	mmol/L	5640-8	mg/dL	4.61
14719-9	mmol/L	5643-2	mg/dL	4.61
14946-8	umol/L	4086-5	ug/mL	0.1442
48347-9	umol/L	30471-7	mg/mL	0.1702
76490-2	umol/L	33415-1	mg/dL	14.99
78920-6	nmol/L	14978-1	ng/mL	1.2019
15103-5	nmol/L	3521-2	ng/mL	1.2019
32664-5	ug/mL	1839-0	umol/L	0.587
22763-7	ug/dL	16362-6	umol/L	0.587
20684-7	ug/dL	1841-6	umol/L	0.587
14630-8	umol/L	1971-1	mg/dL	0.0585
15104-3	nmol/L	3559-2	ug/L	0.765
27941-4	mg/dL	2520-5	mmol/L	0.111
13965-9	umol/L	2428-1	mg/l	0.135
62236-5	nmol/L	30552-4	ug/L	0.2471
31012-8	umol/L	20578-1	ug/mL	1.4493
14744-7	mmol/L	2342-4	mg/dL	18.02
17862-4	mg/dL	2004-0	mmol/L	0.25
76494-4	nmol/L	74096-9	ng/mL	0.822
25458-1	umol/L	6948-4	ug/mL	0.256
14674-6	pmol/L	2141-0	pg/mL	4.5455
14890-8	nmol/L	2839-9	ng/mL	0.3145
83110-7	nmol/L	83109-9	ng/mL	0.3145
22747-0	umol/L	3665-7	mg/L	0.4785
14334-7	mmol/L	3719-2	ug/mL	6.94
32554-8	nmol/L	2998-3	ug/dL	0.0338
20468-5	nmol/L	2999-1	ug/dL	0.0338
29775-4	nmol/L	2484-4	ng/mL	7.6336
14688-6	umol/L	2191-5	ug/dL	37.037
25386-4	umol/L	12190-5	mg/dL	0.0113
14877-5	umol/L	3968-5	ug/mL	0.252
76489-4	umol/L	2464-6	mg/dL	14.99
29760-6	umol/L	15152-2	mg/dL	0.0585
14836-1	umol/L	3793-7	ug/mL	0.454
14914-6	nmol/L	2991-8	ng/dL	28.82
70240-7	nmol/L	49042-5	ng/dL	28.82
14586-2	pmol/L	1763-2	ng/dL	0.0361
13967-5	nmol/L	2942-1	ug/dL	9.5
52958-6	umol/L	3774-7	mg/L	0.3096
22700-9	mmol/L	3092-4	mg/dL	6.006
14938-5	mmol/L	3095-7	mg/dL	6.006
48348-7	umol/L	31019-3	ug/mL	0.2543
53348-9	nmol/L	53347-1	ng/dL	33.05
53339-8	nmol/L	53338-0	ug/dL	0.03465
14569-8	nmol/L	1668-3	ng/dL	33.05
53342-2	nmol/L	53341-4	ug/dL	0.03465
49054-0	ng/mL	46269-7	nmol/L	2.423067604
14573-0	umol/(24.h)	1695-6	mg/(24.h)	0.1912
70197-9	nmol/L	19593-3	ng/mL	0.3274
70198-7	umol/L	35595-8	ug/mL	0.1512
14581-3	umol/L	3298-7	ug/mL	0.1512
14582-1	mmol/L	5568-1	mg/dL	5.808
14586-2	pmol/L	1763-2	ng/dL	0.03605
22763-7	ug/dL	16362-6	umol/L	0.58719906
15057-3	pmol/L	1848-1	pg/mL	0.2904
53344-8	nmol/L	53343-0	ng/dL	28.64
14603-5	nmol/L	1854-9	ng/mL	0.2864
15114-2	nmol/L	5583-0	ug/dL	133.4757074
14622-5	umol/L	1903-4	mg/dL	0.01761
14629-0	umol/L	1968-7	mg/dL	0.05847
14630-8	umol/L	1971-1	mg/dL	0.05847
29767-1	mmol/L	1974-5	mg/dL	58.47
70199-5	umol/L	1978-6	mg/dL	0.058479532
41016-7	umol/L	20505-4	mg/dL	0.058479532
14631-6	umol/L	1975-2	mg/dL	0.05847
14633-2	pmol/L	1986-9	ng/mL	0.00302
25361-7	umol/L	3422-3	ug/mL	0.1942
14635-7	nmol/L	1989-3	ng/mL	0.4006
47094-8	pmol/L	2236-8	pg/mL	0.3967
14566-4	pmol/L	1649-3	pg/mL	0.4166
25362-5	mmol/L	18488-7	mg/L	40.08
17861-6	mg/dL	2000-8	mmol/L	0.249500998
17862-4	mg/dL	2004-0	mmol/L	0.249500998
71790-0	mmol/L	35675-8	mg/L	40.08
14637-3	mmol/(24.h)	6874-2	mg/(24.h)	40.08
17864-0	mg/dL	12180-6	mmol/L	0.249500998
14639-9	umol/L	3432-2	ug/mL	0.2363
14647-2	mmol/L	2093-3	mg/dL	38.67
14646-4	mmol/L	2085-9	mg/dl	38.67
70201-9	nomol/L	2087-5	mg/dL	3.86698E-05
70202-7	nmol/L	50194-0	mg/dL	3.86698E-05
22748-8	mmol/L	2089-1	mg/dL	0.02585984
39469-2	mmol/L	2089-1	mg/dL	0.02585984
39469-2	mmol/L	13457-7	mg/dL	38.67
69419-0	mmol/L	18262-6	mg/dL	38.61003861
25371-6	mmol/L	2091-7	mg/dL	0.02585984
66126-4	mmol/L	13458-5	mg/dL	38.61003861
70203-5	nmol/L	46986-6	mg/dL	3.86698E-05
70204-3	nmol/L	43396-1	mg/dL	3.86698E-05
70200-1	mmol/mol	2095-8	{ration}	0.001
14650-6	mmol/(24.h)	6687-8	mg/(24.h)	189.1
70205-0	nmol/L	35603-0	ug/ml	0.0003157
14685-2	pmol/L	2132-9	pg/ml	1.329
70206-8	umol/L	16250-3	ng/mL	0.0002994
14665-4	umol/L	5631-7	ug/dL	6.355
14674-6	pmol/L	2141-0	pg/mL	4.541
53346-3	nmol/L	53345-5	ug/dL	0.036250272
51844-9	nmol/L	2142-8	ug/dL	0.036250272
26536-3	nmol/L	26528-0	ug/dL	0.036250272
26535-5	nmol/L	26530-6	ug/dL	0.036250272
14675-3	nmol/L	2143-6	ug/dl	27.5862069
14679-5	nmol/L	9813-7	ug/dL	27.5862069
14678-7	nmol/L	9812-9	ug/dL	27.5862069
30173-9	nmol/L	11040-3	ug/dL	0.03625
14676-1	nmol/(24.h)	2147-4	ug/(24.h)	2.75862069
25886-3	umol/L	20624-3	mg/dL	0.011310042
59826-8	umol/L	38483-4	mg/dL	0.011310042
25386-4	umol/L	12190-5	mg/dL	0.01131
55593-8	umol/L	35674-1	mg/dL	0.01131
14684-5	mmol/(24.h)	2162-6	g/(24.h)	0.1131
15050-8	umol/L	2159-2	mg/dL	0.01131
14682-9	umol/L	2160-0	mg/dL	0.01131
14683-7	mmol/L	2161-8	mg/dL	11.31
15054-0	umol/L	2193-1	ng/mL	288.4
14688-6	umol/L	2191-5	ug/dL	36.85
14698-5	nmol/L	10535-3	ng/mL	0.7809
15059-9	nmol/(24.h)	2218-6	ug/(24.h)	0.1532
14703-3	nmol/L	2216-0	pg/mL	153.2
15058-1	nmol/L	2217-8	ug/L	6.527415144
24521-7	nmol/L	11046-0	pg/mL	183.2
14712-4	nmol/(24.h)	2232-7	ug/(24.h)	0.1832
14715-7	pmol/L	2243-4	pg/mL	0.2724
14716-5	nmol/L	2251-7	ng/mL	0.2884
15064-9	nmol/L	2250-9	ng/mL	0.2884
70207-6	umol/L	2254-1	pg/mL	277000
22663-9	pmol/L	2258-2	pg/mL	0.270416441
15120-9	mmol/L	5640-8	mg/dL	4.607
14719-9	mmol/L	5643-2	mg/dL	4.607
22745-4	mmol/L	5645-7	mg/dL	4.607
14771-0	mmol/L	1558-6	mg/dL	18.02
25415-1	nmol/L	2282-2	ng/mL	0.4414
14731-4	nmol/L	2283-0	ng/mL	0.4414
14732-2	nmol/L	2284-8	ng/mL	0.4414
54085-6	mmol/L	54084-9	mg/dL	18.18181818
47109-4	umol/L	35668-3	mg/L	0.477554919
22746-2	umol/L	3663-2	mg/L	0.4776
22747-0	umol/L	3665-7	mg/L	0.4776
51597-3	mmol/L	1507-3	mg/dL	18.02
40287-5	mmol/L	10449-7	mg/dL	18.02
32319-6	mmol/L	1527-1	mg/dL	18.02
70208-4	mmol/L	1549-5	mg/dL	18.02
15074-8	mmol/L	2339-0	mg/dL	18.02
14745-4	mmol/L	2344-0	mg/dL	18.02
14744-7	mmol/L	2342-4	mg/dL	18.02
14749-6	mmol/L	2345-7	mg/dL	18.02
14753-8	mmol/L	1501-6	mg/dL	18.02
14754-6	mmol/L	1504-0	mg/dL	18.02
