NOT_UCUM	UCUM
*1000/ul	1000/uL
/100 Leu	/100{WBC}
/100 Leuk	/100{WBC}
/1000 Ery	10*3/uL
/100Leu	/100{WBC}
/100Leuk.	/100{WBC}
/µl	/uL
% der Neutr	/100{neutrophils}
% HbF haltige Zellen	%{cells}
%d.Erythrozyt	%{RBC}
%d.ges.CK	{CKtotal}
%d.Leukozyten	%{WBC}
10^3/µL	10*3/uL
8*10hoch8 Ery	pmol/8*10{RBCs}
BE	[beth'U]
Bethesda-Units	[beth'U]
BU	[BETH'U]
CU	[arb'U]
E/l	[IU]/L
E/L	[IU]/L
Ery/ul	{Ery}/uL
Ery/uL	{Ery}/uL
g GAG / mol Krea	g{GAG}/mol{creat}
g/24h	g/(24.h)
g/dl	g/dL
g/g Creatinin	g/g{creat}
G/l	10^3/µL
g/molKrea	g/mol{creat}
gHb/dl	g{Hb}/dL
GPt/l	10*3/uL
GPt/L	10*3/uL
GPT/l	10*3/uL
GPT/L	10*3/uL
IE/l	[IU]/L
IE/ml	[IU]/mL
IE/mL	[IU]/mL
IkU/l	[IU]/mL
Index	{index_value}
IU/l	[IU]/L
IU/L	[IU]/L
IU/l EC	[IU]/L{RBC}
IU/ml	[IU]/mL
IU/mL	[IU]/mL
IU/ML	[IU]/mL
Kopien / ml	{copies}/mL
Kopien/10^5Z.	{copies}/(10*5{Cells})
Kopien/10^6Z.	{copies}/(10*6{Cells})
Kopien/ml	{copies}/mL
Kopien/mL	{copies}/mL
Leu/ul	{WBC}/uL
Leu/uL	{WBC}/uL
lTFR/logFer	{ratio}
mE/ml	mU/mL
mg/24h	mg/(24.h)
mg/24h/kg	mg/(24.h)/kg
mg/dl Erythrozyten	mg/dL{RBCs}
mg/g Crea	mg/g{creat}
mg/g Krea	mg/g{creat}
mg/gKre	mg/g{creat}
mg/gkrea	mg/g{creat}
mg/l	mg/L
mg/l FEU	mg/L{FEU}
mg/m^2/d	mg/m2/d
mg/mmolKre	mg/mmol{creat}
mg/mmolkrea	mg/mmol{creat}
mg/SammZeit	mg/{Time}
micromol/L	umol/L
mIE/ml	[IU]/L
mIE/mL	[IU]/L
min.	min
Mio/µl	10*6/uL
mIU/ml	[IU]/L
mIU/mL	[IU]/L
ml/min	mL/min
mL/min/1,73	mL/min/(173/100)
ml/min/1,73m²	mL/min/{1.73_m2}
ml/min/1.73 m2	mL/min/{1.73_m2}
ml/min/1.73qm	mL/min/{1.73_m2}
mL/s/1.72qm	mL/s/(172/100.m2)
mlU/l	m[IU]/L
mm/1h	mm/(1.h)
mm/2h	mm/(2.h)
mmHg	mm[Hg]
mmol/24h	mmol/(24.h)
mmol/l	mmol/L
mmol/l z.Quadrat	mmol2/L
mmol/mmol Crea	mmol/mmol{creat}
mmol/mmol K	mmol/mmol{creat}
mmol/mmol Krea	mmol/mmol{creat}
mmol/mmolKrea	mmol/mmol{creat}
mmol/mol Hb	mmol/mol{Hb}
mmol/mol Krea	mmol/mol{creat}
mmol/mol Kreatinin	mmol/mol{creat}
mmol/molKrea	mmol/mol{crea}
mmol/Sammelzeit	mmol/{time}
mmol/SammZeit	mmol/{time}
mmol²/l²	mmol2/L2
mol/molKre	mol/mol{creat}
mol/molKrea	mol/mol{creat}
mosmol/kg	mosm/kg
MPt/L	1/uL
MPT/L	1/uL
mU/mg Protein	mU/mg{prot}
mU/ml	mU/mL
ng/mL FEU	ng{FEU}/mL
nmol/(L*s)	nmol/(L.s)
nmol/h*gHb	nmol/(h.g{Hb})
nmol/L*s	nmol/(L.s)
nmol/umolCreatinin	nmol/umol{creat}
o/oo	/10*4
O/oo	/10*4
pro 100 Leukos	/100{WBC}
pro 100 Leukozyten	/100{WBC}
pro 1000	1/10*3.{RBC}
pro Feld	[HPF]
pro µL	1/uL
Ratio	/1
RE/ml	[arb'U]
S/CO	{s_co_ratio}
sec	s
sec.	s
Std.	h
Stunden	h
Titer	{titer}
TPt/l	10*6/uL
TPt/L	10*6/uL
Tsd/µl	10*3/uL
U/24h	U/(24.h)
U/g Crea	U/g{creat}
U/gHb	U/g{Hb}
U/molKre	U/mol{creat}
uE/ml	uU/mL
ug/24h	ug/(24.h)
ug/gkrea	ug/g{creat}
Uhr	{clock time}
Units	[arb'U]
VE	{s_co_ratio}.10
Vol%	%{vol}
x 10^-3	1/10*3
x10^3/ul	10*3/uL
x10^3/µl	10*3/uL
x10^6/ul	10*6/uL
x10^6/µl	10*6/uL
Zellen	{cells}
Zellen/ul	{cells}/uL
Zellen/µL	{cells}/uL
µE/ml	uU/mL
µg*h/l	ug.h/L
µg/24h	ug/(24.h)
µg/dl	ug/dL
µg/g	ug/g
µg/g (TG)	ug/g
µg/g Stuhl	ug/g{feces}
µg/l	ug/L
µg/L	ug/L
µg/ml	ug/mL
µg/mL	ug/mL
µg/Sammelvol.	ug/{volume}
µIU/ml	u[IU]/mL
µl	uL
µl/30Min	ul/(30.min)
µlU/ml	u[IU]/mL
µmol/(s*l)	ukat/L
µmol/(s*L)	ukat/L
µmol/l	umol/L
µmol/L	umol/L
µmol/molKrea	umol/mol{creat}
µU/ml	uU/mL
